SchYear,DistName,StudentGroup,StudentGroup_TotalTested,StudentSubGroup,StudentSubGroup_TotalTested,ProficientOrAbove_count,ProficientOrAbove_percent,ParticipationRate,DistLocale
2018,Abc Unified,All Students,1469,All Students,1469,799.0,0.5443,0.9912,"Suburb, large"
2018,Abc Unified,Disability Status,1469,Non-SWD,1280,759.0,0.593,0.9953,"Suburb, large"
2018,Abc Unified,Disability Status,1469,SWD,189,40.0,0.2128,0.9643,"Suburb, large"
2018,Abc Unified,EL Status,1469,EL Exited,196,172.0,0.8776,1.0,"Suburb, large"
2018,Abc Unified,EL Status,1469,English Learner,342,94.0,0.2757,0.9971,"Suburb, large"
2018,Abc Unified,EL Status,1469,English Proficient,1125,704.0,0.6258,0.9903,"Suburb, large"
2018,Abc Unified,EL Status,1469,Ever EL,538,266.0,0.4953,0.9981,"Suburb, large"
2018,Abc Unified,Economic Status,1469,Economically Disadvantaged,772,279.0,0.3619,0.9897,"Suburb, large"
2018,Abc Unified,Economic Status,1469,Not Economically Disadvantaged,697,520.0,0.7461,0.9929,"Suburb, large"
2018,Abc Unified,Gender,1469,Female,711,373.0,0.5246,0.9916,"Suburb, large"
2018,Abc Unified,Gender,1469,Male,758,426.0,0.5627,0.9908,"Suburb, large"
2018,Abc Unified,Migrant Status,1469,Migrant,72,9.0,0.125,1.0,"Suburb, large"
2018,Abc Unified,RaceEth,1469,American Indian or Alaska Native,*,,,,"Suburb, large"
2018,Abc Unified,RaceEth,1469,Asian,359,313.0,0.8719,0.9945,"Suburb, large"
2018,Abc Unified,RaceEth,1469,Black or African American,111,51.0,0.4595,0.9737,"Suburb, large"
2018,Abc Unified,RaceEth,1469,Filipino,153,106.0,0.6928,1.0,"Suburb, large"
2018,Abc Unified,RaceEth,1469,Hispanic or Latino,686,237.0,0.346,0.9928,"Suburb, large"
2018,Abc Unified,RaceEth,1469,Native Hawaiian or Pacific Islander,*,,,,"Suburb, large"
2018,Abc Unified,RaceEth,1469,Two or More,48,28.0,0.5833,1.0,"Suburb, large"
2018,Abc Unified,RaceEth,1469,White,86,52.0,0.6047,0.9663,"Suburb, large"
2018,Ackerman Charter,All Students,62,All Students,62,39.0,0.629,1.0,"Town, fringe"
2018,Ackerman Charter,Disability Status,62,Non-SWD,58,38.0,0.6552,1.0,"Town, fringe"
2018,Ackerman Charter,Disability Status,62,SWD,*,,,,"Town, fringe"
2018,Ackerman Charter,EL Status,62,EL Exited,*,,,,"Town, fringe"
2018,Ackerman Charter,EL Status,62,English Proficient,62,39.0,0.629,1.0,"Town, fringe"
2018,Ackerman Charter,EL Status,62,Ever EL,*,,,,"Town, fringe"
2018,Ackerman Charter,Economic Status,62,Economically Disadvantaged,16,8.0,0.5,1.0,"Town, fringe"
2018,Ackerman Charter,Economic Status,62,Not Economically Disadvantaged,46,31.0,0.6739,1.0,"Town, fringe"
2018,Ackerman Charter,Gender,62,Female,34,22.0,0.6471,1.0,"Town, fringe"
2018,Ackerman Charter,Gender,62,Male,28,17.0,0.6071,1.0,"Town, fringe"
2018,Ackerman Charter,RaceEth,62,American Indian or Alaska Native,*,,,,"Town, fringe"
2018,Ackerman Charter,RaceEth,62,Asian,*,,,,"Town, fringe"
2018,Ackerman Charter,RaceEth,62,Hispanic or Latino,*,,,,"Town, fringe"
2018,Ackerman Charter,RaceEth,62,Two or More,*,,,,"Town, fringe"
2018,Ackerman Charter,RaceEth,62,White,47,30.0,0.6383,1.0,"Town, fringe"
2018,Acton-Agua Dulce Unified,All Students,76,All Students,76,26.0,0.3421,0.962,"Rural, distant"
2018,Acton-Agua Dulce Unified,Disability Status,76,Non-SWD,57,20.0,0.3509,0.9828,"Rural, distant"
2018,Acton-Agua Dulce Unified,Disability Status,76,SWD,19,6.0,0.3158,0.9048,"Rural, distant"
2018,Acton-Agua Dulce Unified,EL Status,76,EL Exited,*,,,,"Rural, distant"
2018,Acton-Agua Dulce Unified,EL Status,76,English Learner,14,5.0,0.3571,1.0,"Rural, distant"
2018,Acton-Agua Dulce Unified,EL Status,76,English Proficient,61,21.0,0.3443,0.9531,"Rural, distant"
2018,Acton-Agua Dulce Unified,EL Status,76,Ever EL,18,6.0,0.3333,1.0,"Rural, distant"
2018,Acton-Agua Dulce Unified,Economic Status,76,Economically Disadvantaged,47,11.0,0.234,0.9592,"Rural, distant"
2018,Acton-Agua Dulce Unified,Economic Status,76,Not Economically Disadvantaged,29,15.0,0.5172,0.9667,"Rural, distant"
