SchYear,DistName,StudentGroup,StudentGroup_TotalTested,StudentSubGroup,StudentSubGroup_TotalTested,ProficientOrAbove_count,ProficientOrAbove_percent,ParticipationRate,DistLocale
2015,Abc Unified,All Students,1538,All Students,1538,723.0,0.47,0.9815,"Suburb, large"
2015,Abc Unified,Disability Status,1538,Non-SWD,1354,678.0,0.51,0.8641,"Suburb, large"
2015,Abc Unified,Disability Status,1538,SWD,184,35.0,0.19,0.1174,"Suburb, large"
2015,Abc Unified,EL Status,1538,EL Exited,147,103.0,0.7,0.09381,"Suburb, large"
2015,Abc Unified,EL Status,1538,English Learner,410,95.0,0.23,0.2616,"Suburb, large"
2015,Abc Unified,EL Status,1538,English Proficient,1121,616.0,0.56,0.7154,"Suburb, large"
2015,Abc Unified,Economic Status,1538,Economically Disadvantaged,784,212.0,0.27,0.5003,"Suburb, large"
2015,Abc Unified,Economic Status,1538,Not Economically Disadvantaged,754,506.0,0.68,0.4812,"Suburb, large"
2015,Abc Unified,Gender,1538,Female,809,380.0,0.48,0.5163,"Suburb, large"
2015,Abc Unified,Gender,1538,Male,729,335.0,0.46,0.4652,"Suburb, large"
2015,Abc Unified,Migrant Status,1538,Migrant,62,11.0,0.18,0.03957,"Suburb, large"
2015,Abc Unified,RaceEth,1538,American Indian or Alaska Native,2,,,0.001276,"Suburb, large"
2015,Abc Unified,RaceEth,1538,Asian,361,285.0,0.79,0.2304,"Suburb, large"
2015,Abc Unified,RaceEth,1538,Black or African American,109,34.0,0.31,0.06956,"Suburb, large"
2015,Abc Unified,RaceEth,1538,Filipino,171,120.0,0.7,0.1091,"Suburb, large"
2015,Abc Unified,RaceEth,1538,Hispanic or Latino,722,181.0,0.25,0.4608,"Suburb, large"
2015,Abc Unified,RaceEth,1538,Native Hawaiian or Pacific Islander,9,,,0.005743,"Suburb, large"
2015,Abc Unified,RaceEth,1538,Two or More,48,32.0,0.67,0.03063,"Suburb, large"
2015,Abc Unified,RaceEth,1538,White,113,64.0,0.57,0.07211,"Suburb, large"
2015,Ackerman Charter,All Students,62,All Students,62,39.0,0.63,1.0,"Town, fringe"
2015,Ackerman Charter,Disability Status,62,Non-SWD,55,35.0,0.64,0.8871,"Town, fringe"
2015,Ackerman Charter,Disability Status,62,SWD,7,,,0.1129,"Town, fringe"
