Year,District,DistLocale,Total_ProficientPct,EconDisadv_ProficientPct,NotEconDisadv_ProficientPct,Female_ProficientPct,Male_ProficientPct,AIAN_ProficientPct,Asian_ProficientPct,Black_ProficientPct,Filipino_ProficientPct,Hisp_ProficientPct,NHPI_ProficientPct,TwoOrMore_ProficientPct,White_ProficientPct,Total_ProficientCount,EconDisadv_ProficientCount,NotEconDisadv_ProficientCount,Female_ProficientCount,Male_ProficientCount,AIAN_ProficientCount,Asian_ProficientCount,Black_ProficientCount,Filipino_ProficientCount,Hisp_ProficientCount,NHPI_ProficientCount,TwoOrMore_ProficientCount,White_ProficientCount,Total_Count,EconDisadv_Count,NotEconDisadv_Count,Female_Count,Male_Count,AIAN_Count,Asian_Count,Black_Count,Filipino_Count,Hisp_Count,NHPI_Count,TwoOrMore_Count,White_Count,Total_ProficientPct_missing,EconDisadv_ProficientPct_missing,NotEconDisadv_ProficientPct_missing,Female_ProficientPct_missing,Male_ProficientPct_missing,AIAN_ProficientPct_missing,Asian_ProficientPct_missing,Black_ProficientPct_missing,Filipino_ProficientPct_missing,Hisp_ProficientPct_missing,NHPI_ProficientPct_missing,TwoOrMore_ProficientPct_missing,White_ProficientPct_missing,Total_ProficientCount_missing,EconDisadv_ProficientCount_missing,NotEconDisadv_ProficientCount_missing,Female_ProficientCount_missing,Male_ProficientCount_missing,AIAN_ProficientCount_missing,Asian_ProficientCount_missing,Black_ProficientCount_missing,Filipino_ProficientCount_missing,Hisp_ProficientCount_missing,NHPI_ProficientCount_missing,TwoOrMore_ProficientCount_missing,White_ProficientCount_missing,Total_Count_missing,EconDisadv_Count_missing,NotEconDisadv_Count_missing,Female_Count_missing,Male_Count_missing,AIAN_Count_missing,Asian_Count_missing,Black_Count_missing,Filipino_Count_missing,Hisp_Count_missing,NHPI_Count_missing,TwoOrMore_Count_missing,White_Count_missing,Total_ProficientPct_lag1,Total_ProficientPct_lag2,Total_ProficientPct_lag3,Total_ProficientPct_lag4
2015,abc unified,"Suburb, large",0.47,0.27,0.68,0.48,0.46,,0.79,0.31,0.7,0.25,,0.67,0.57,723.0,212.0,506.0,380.0,335.0,0.0,285.0,34.0,120.0,181.0,0.0,32.0,64.0,1538.0,784.0,754.0,809.0,729.0,2.0,361.0,109.0,171.0,722.0,9.0,48.0,113.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2016,abc unified,"Suburb, large",0.54,0.37,0.72,0.55,0.53,,0.85,0.37,0.77,0.34,,0.67,0.68,843.0,300.0,541.0,424.0,420.0,0.0,306.0,54.0,132.0,248.0,0.0,28.0,63.0,1562.0,811.0,751.0,771.0,791.0,4.0,359.0,145.0,171.0,728.0,10.0,42.0,93.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,,,
2017,abc unified,"Suburb, large",0.5188,0.3357,0.7173,0.488,0.5494,,0.8575,0.4091,0.6573,0.3486,,0.5821,0.5354,826.0,278.0,548.0,387.0,439.0,0.0,307.0,54.0,94.0,266.0,0.0,39.0,53.0,1592.0,828.0,764.0,793.0,799.0,0.0,358.0,132.0,143.0,763.0,0.0,67.0,99.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.47,,
2018,abc unified,"Suburb, large",0.5443,0.3619,0.7461,0.5246,0.5627,,0.8719,0.4595,0.6928,0.346,,0.5833,0.6047,799.0,279.0,520.0,373.0,426.0,0.0,313.0,51.0,106.0,237.0,0.0,28.0,52.0,1469.0,772.0,697.0,711.0,758.0,0.0,359.0,111.0,153.0,686.0,0.0,48.0,86.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5188,0.54,0.47,
2019,abc unified,"Suburb, large",0.5449,0.3755,0.7535,0.537,0.5523,,0.8712,0.4123,0.7014,0.3676,,0.6739,0.6667,789.0,300.0,489.0,377.0,412.0,0.0,284.0,47.0,101.0,261.0,0.0,31.0,56.0,1448.0,799.0,649.0,702.0,746.0,0.0,326.0,114.0,144.0,710.0,10.0,46.0,84.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5443,0.5188,0.54,0.47
2015,ackerman charter,"Town, fringe",0.63,0.33,0.72,0.57,0.69,,,,,,,,0.67,39.0,5.0,34.0,17.0,22.0,0.0,0.0,0.0,,0.0,,0.0,32.0,62.0,15.0,47.0,30.0,32.0,1.0,2.0,2.0,,6.0,,1.0,48.0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,
2016,ackerman charter,"Town, fringe",0.63,0.38,0.72,0.58,0.7,,,,,,,,0.6,40.0,6.0,34.0,21.0,19.0,,0.0,,,0.0,,0.0,31.0,63.0,16.0,47.0,36.0,27.0,,1.0,,,8.0,,2.0,52.0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0.63,,,
2017,ackerman charter,"Town, fringe",0.5806,0.5,0.625,0.4848,0.6897,,,,,0.5455,,,0.587,36.0,11.0,25.0,16.0,20.0,,0.0,0.0,,6.0,,0.0,27.0,62.0,22.0,40.0,33.0,29.0,,0.0,0.0,,11.0,,0.0,46.0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.63,0.63,,
2018,ackerman charter,"Town, fringe",0.629,0.5,0.6739,0.6471,0.6071,,,,,,,,0.6383,39.0,8.0,31.0,22.0,17.0,0.0,0.0,,,0.0,,0.0,30.0,62.0,16.0,46.0,34.0,28.0,0.0,0.0,,,0.0,,0.0,47.0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.5806,0.63,0.63,
2019,ackerman charter,"Town, fringe",0.6567,0.4118,0.74,0.5161,0.7778,,,,,0.3333,,,0.6957,44.0,7.0,37.0,16.0,28.0,,,0.0,,4.0,,0.0,32.0,67.0,17.0,50.0,31.0,36.0,,,0.0,,12.0,,8.0,46.0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0.629,0.5806,0.63,0.63
